iter	Passed	Remaining
0	1	125
1	2	117
2	3	111
3	4	101
4	5	99
5	6	97
6	7	97
7	8	97
8	9	95
9	10	93
10	11	91
11	12	89
12	13	88
13	14	87
14	15	85
15	16	84
16	16	82
17	17	80
18	18	79
19	19	78
20	20	76
21	21	75
22	22	74
23	23	73
24	24	72
25	25	71
26	26	70
27	27	70
28	28	69
29	29	68
30	30	67
31	30	65
32	31	64
33	32	63
34	33	62
35	34	60
36	35	59
37	35	58
38	36	57
39	37	56
40	38	55
41	38	53
42	40	53
43	40	52
44	41	51
45	42	49
46	43	48
47	44	47
48	44	46
49	45	45
50	46	44
51	47	44
52	48	43
53	49	42
54	49	40
55	50	39
56	51	38
57	52	37
58	53	36
59	54	36
60	54	35
61	55	34
62	56	33
63	57	32
64	58	31
65	58	30
66	59	29
67	60	28
68	61	27
69	62	26
70	62	25
71	63	24
72	64	23
73	65	22
74	66	22
75	67	21
76	67	20
77	68	19
78	69	18
79	70	17
80	71	16
81	71	15
82	72	14
83	73	14
84	74	13
85	75	12
86	75	11
87	76	10
88	77	9
89	78	8
90	79	7
91	80	6
92	80	6
93	81	5
94	82	4
95	83	3
96	84	2
97	85	1
98	86	0
99	86	0
